"","phi_g","phi_b","beta","lambda_g","lambda_b"
"1",1,0.746326365789678,0.654302024846127,1,0.704357657378091
"2",0.9,0.67169372921071,0.72700224982903,0.876511405370576,0.617377520151997
"3",0.8,0.597061092631743,0.817877531057659,0.753022810741152,0.530397382925903
"4",0.7,0.522428456052775,0.93471717835161,0.629534216111728,0.44341724569981
"5",0.6,0.447795819473807,1.09050337474355,0.506045621482304,0.356437108473716
