Series Name,"Series Code","Country Name","Country Code","2004 [YR2004]"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Kazakhstan","KAZ","80"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Kenya","KEN","50"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Kiribati","KIR","NA"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Kosovo","XKX","NA"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Kyrgyz Republic","KGZ","100"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Lao PDR","LAO","70"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Lebanon","LBN","20"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Lesotho","LSO","70"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Liberia","LBR","0"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Libya","LBY","0"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Macedonia, FYR","MKD","80"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Madagascar","MDG","60"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Malawi","MWI","60"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Malaysia","MYS","60"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Maldives","MDV","NA"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Mali","MLI","60"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Marshall Islands","MHL","NA"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Mauritania","MRT","60"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Mauritius","MUS","60"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Mexico","MEX","50"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Micronesia, Fed. Sts.","FSM","NA"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Moldova","MDA","70"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Mongolia","MNG","60"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Montenegro","MNE","70"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Morocco","MAR","80"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Mozambique","MOZ","80"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Myanmar","MMR","50"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Namibia","NAM","50"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Nauru","NRU","NA"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Nepal","NPL","80"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Nicaragua","NIC","80"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Niger","NER","60"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Nigeria","NGA","40"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Pakistan","PAK","80"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Palau","PLW","NA"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Panama","PAN","80"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Papua New Guinea","PNG","20"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Paraguay","PRY","40"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Peru","PER","80"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Philippines","PHL","80"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Poland","POL","80"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Romania","ROU","100"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Russian Federation","RUS","100"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Rwanda","RWA","60"
Source data assessment of statistical capacity (scale 0 - 100),"IQ.SCI.SRCE","Samoa","WSM","NA"
