MMR
AGO
NGA
SDN
VNM
BFA
BEN
GHA
RWA
DZA
OMN
MLI
SLE
CMR
IRN
NER
GMB
LBR
CAF
MRT
SWZ
LBN
MDG
ERI
GNB
COG
HTI
CIV
COD
BDI
