"","Code","GDP.grow","light.grow"
"ROU","ROU",3.24304134688124,5.67798927306905
"RUS","RUS",1.49707136353321,-1.23449975510692
"RWA","RWA",3.47261607936239,-1.93924781942559
"SAU","SAU",2.25481643292522,1.55996150615731
"SDN","SDN",5.70587818331254,4.11551291437963
"SEN","SEN",3.84255689749088,4.30385986189819
"SGP","SGP",6.00568817845708,0.0648355857171814
"SLB","SLB",1.02157624143405,-0.96191982745087
"SLE","SLE",2.38039349603671,-0.328775057166922
"SLV","SLV",2.4210911532035,3.68470974219473
"SUR","SUR",2.89430667018974,3.58404888886547
"SVK","SVK",4.51985603630252,-1.31570792562511
"SWE","SWE",3.05791631126004,-1.04240745807137
"SWZ","SWZ",3.39484040121256,4.01714371598014
"SYC","SYC",2.46332408391676,0.178805276729276
"SYR","SYR",4.10290985673168,2.07812969808264
"TCD","TCD",7.15574375563954,7.56270872636818
"TGO","TGO",3.21397085051738,-0.406722853774487
"THA","THA",3.99487753174891,4.7246705389899
"TJK","TJK",0.28992351595684,-0.902882379284059
"TKM","TKM",2.02405098596579,3.76940356848863
"TON","TON",2.29059978988364,-0.604817189937689
"TTO","TTO",6.84223301230393,1.99967326489943
"TUN","TUN",4.27570163109838,3.48990986919639
"TUR","TUR",4.07511792622651,2.12713215308223
"TZA","TZA",4.91181394679167,2.08690956581848
"UGA","UGA",6.76882570789198,2.61767193612751
"UKR","UKR",-1.26698277637259,-4.36371547431545
"URY","URY",1.84284741811209,1.23101835536907
"USA","USA",3.29882839374341,-0.521433167942603
"UZB","UZB",3.18536273527711,-0.830385529150531
"VCT","VCT",3.6041064673851,1.59662050876079
"VEN","VEN",1.75356178838942,1.17282009414886
"VNM","VNM",7.05922860528394,10.5494450088731
"VUT","VUT",2.77485068824934,-2.93536098217409
"WSM","WSM",3.80178949402753,2.935514072956
"YEM","YEM",4.71626521698626,4.73499467938023
"ZAF","ZAF",3.24427112886347,1.7773041140817
"ZMB","ZMB",3.75293722872866,0.867243982868854
"ZWE","ZWE",-1.47608926689799,-0.0748242023835798
